,date,repeated_hour_flag,dam,rtm
0,2022-01-01 00:00:00,N,33.41,64.36
1,2022-01-01 01:00:00,N,25.22,32.4475
2,2022-01-01 02:00:00,N,22.91,25.54
3,2022-01-01 03:00:00,N,18.41,22.4175
4,2022-01-01 04:00:00,N,12.19,15.9475
5,2022-01-01 05:00:00,N,14.92,13.5225
6,2022-01-01 06:00:00,N,16.0,11.4825
7,2022-01-01 07:00:00,N,17.0,11.195
8,2022-01-01 08:00:00,N,17.39,10.2725
9,2022-01-01 09:00:00,N,18.63,1.3575
10,2022-01-01 10:00:00,N,20.86,21.59
11,2022-01-01 11:00:00,N,24.44,22.67
12,2022-01-01 12:00:00,N,25.02,24.692500000000003
13,2022-01-01 13:00:00,N,25.88,25.997500000000002
14,2022-01-01 14:00:00,N,25.28,26.4325
15,2022-01-01 15:00:00,N,23.59,24.5325
16,2022-01-01 16:00:00,N,29.0,21.4925
17,2022-01-01 17:00:00,N,41.49,21.92
18,2022-01-01 18:00:00,N,29.11,22.310000000000002
19,2022-01-01 19:00:00,N,26.11,22.3
20,2022-01-01 20:00:00,N,23.36,22.195
21,2022-01-01 21:00:00,N,23.29,22.1125
22,2022-01-01 22:00:00,N,24.38,20.0525
23,2022-01-01 23:00:00,N,23.79,17.377499999999998
24,2022-01-02 00:00:00,N,26.63,6.8825
25,2022-01-02 01:00:00,N,24.79,8.1275
26,2022-01-02 02:00:00,N,23.85,7.545
27,2022-01-02 03:00:00,N,22.81,11.5125
28,2022-01-02 04:00:00,N,23.59,13.93
29,2022-01-02 05:00:00,N,25.76,21.9825
30,2022-01-02 06:00:00,N,30.29,22.564999999999998
31,2022-01-02 07:00:00,N,38.11,22.9775
32,2022-01-02 08:00:00,N,46.77,23.4575
33,2022-01-02 09:00:00,N,37.65,23.1725
34,2022-01-02 10:00:00,N,35.47,24.9725
35,2022-01-02 11:00:00,N,35.0,26.8275
36,2022-01-02 12:00:00,N,31.33,22.9225
37,2022-01-02 13:00:00,N,27.45,22.225
38,2022-01-02 14:00:00,N,26.33,20.3625
39,2022-01-02 15:00:00,N,25.84,19.645
40,2022-01-02 16:00:00,N,31.4,22.5225
41,2022-01-02 17:00:00,N,84.63,35.225
42,2022-01-02 18:00:00,N,98.07,37.7425
43,2022-01-02 19:00:00,N,72.65,38.025
44,2022-01-02 20:00:00,N,62.24,37.8
45,2022-01-02 21:00:00,N,48.31,37.02
46,2022-01-02 22:00:00,N,39.26,34.4125
47,2022-01-02 23:00:00,N,36.75,34.815
48,2022-01-03 00:00:00,N,31.01,34.9875
49,2022-01-03 01:00:00,N,30.45,34.902499999999996
50,2022-01-03 02:00:00,N,30.03,35.6675
51,2022-01-03 03:00:00,N,29.65,36.35
52,2022-01-03 04:00:00,N,31.03,37.072500000000005
53,2022-01-03 05:00:00,N,40.43,37.3625
54,2022-01-03 06:00:00,N,96.58,54.9125
55,2022-01-03 07:00:00,N,101.16,51.6875
56,2022-01-03 08:00:00,N,47.62,34.8675
57,2022-01-03 09:00:00,N,34.68,26.475
58,2022-01-03 10:00:00,N,29.38,26.2675
59,2022-01-03 11:00:00,N,27.53,23.575
60,2022-01-03 12:00:00,N,26.67,22.615000000000002
61,2022-01-03 13:00:00,N,25.13,21.04
62,2022-01-03 14:00:00,N,24.17,18.5225
63,2022-01-03 15:00:00,N,23.2,17.4425
64,2022-01-03 16:00:00,N,26.79,20.93
65,2022-01-03 17:00:00,N,47.05,26.755000000000003
66,2022-01-03 18:00:00,N,35.37,24.845
67,2022-01-03 19:00:00,N,30.99,22.735
68,2022-01-03 20:00:00,N,30.81,22.03
69,2022-01-03 21:00:00,N,29.05,20.0375
70,2022-01-03 22:00:00,N,27.02,19.6925
71,2022-01-03 23:00:00,N,24.4,19.085
72,2022-01-04 00:00:00,N,19.48,21.9975
73,2022-01-04 01:00:00,N,18.15,22.182499999999997
74,2022-01-04 02:00:00,N,19.11,22.205
75,2022-01-04 03:00:00,N,20.35,23.0925
76,2022-01-04 04:00:00,N,24.91,23.770000000000003
77,2022-01-04 05:00:00,N,25.84,24.1225
78,2022-01-04 06:00:00,N,40.23,31.247500000000002
79,2022-01-04 07:00:00,N,42.89,31.7475
80,2022-01-04 08:00:00,N,35.56,25.675
81,2022-01-04 09:00:00,N,26.61,22.8675
82,2022-01-04 10:00:00,N,23.39,22.09
83,2022-01-04 11:00:00,N,22.74,20.4225
84,2022-01-04 12:00:00,N,20.37,20.645
85,2022-01-04 13:00:00,N,19.22,17.9475
86,2022-01-04 14:00:00,N,18.33,5.1225
87,2022-01-04 15:00:00,N,18.05,10.5
88,2022-01-04 16:00:00,N,21.57,19.46
89,2022-01-04 17:00:00,N,43.98,31.9375
90,2022-01-04 18:00:00,N,33.98,27.927500000000002
91,2022-01-04 19:00:00,N,29.14,22.7025
92,2022-01-04 20:00:00,N,26.03,22.5025
93,2022-01-04 21:00:00,N,24.53,22.0325
94,2022-01-04 22:00:00,N,25.84,20.63
95,2022-01-04 23:00:00,N,24.38,20.752499999999998
96,2022-01-05 00:00:00,N,23.23,22.6725
97,2022-01-05 01:00:00,N,22.23,22.490000000000002
