,month,rt_tb2,da_tb2
0,2022-01,0.2654416666666667,0.2232458333333333
1,2022-02,0.8554108333333333,0.3081175
2,2022-03,0.4574991666666666,0.4107966666666667
3,2022-04,0.589055,0.452285
4,2022-05,1.1457133333333334,0.8488933333333334
5,2022-06,0.3004833333333333,0.5839025
6,2022-07,2.7366966666666666,1.8212125
7,2022-08,0.7478524999999999,0.7565416666666667
8,2022-09,0.33865333333333336,0.38517833333333334
9,2022-10,0.5229491666666667,0.35237250000000003
10,2022-11,0.3455941666666667,0.317685
11,2022-12,0.7977583333333333,0.6793525
